transaction_id,date,description,amount_gbp,balance_gbp,counterparty,category,raw_category
bt_000188,2024-06-01,SWIFT XFER PORTO KNIT CO. EUR,-363584.04,36415.96,Porto Knit Co.,,SUPPLIER
bt_000189,2024-06-01,SWIFT XFER MILANO TRIMS SRL EUR,-14578.30,21837.66,Milano Trims SRL,,SUPPLIER
bt_000190,2024-06-01,SWIFT XFER IBERIA FOOTWEAR SA EUR,-36232.78,-14395.12,Iberia Footwear SA,,SUPPLIER
bt_000217,2024-06-01,SHOPIFY* SUB 46726,-79.00,-14474.12,Shopify,,SAAS
bt_000223,2024-06-01,STANDING ORDER STUDIO N1 LDN,-3200.00,-17674.12,Studio N1 Landlord,,RENT
bt_000201,2024-06-03,SWIFT XFER PORTO KNIT CO. EUR,-123790.00,-141464.12,Porto Knit Co.,,SUPPLIER
bt_000202,2024-06-03,SWIFT XFER MILANO TRIMS SRL EUR,-4817.65,-146281.77,Milano Trims SRL,,SUPPLIER
bt_000218,2024-06-03,INTERCOM INC SF CA 18606,-199.00,-146480.77,Intercom,,SAAS
bt_000219,2024-06-03,XERO LTD 86661,-42.00,-146522.77,Xero,,SAAS
bt_000220,2024-06-03,NOTION LABS INC 71577,-24.00,-146546.77,Notion Labs,,SAAS
bt_000221,2024-06-03,FIGMA INC 54956,-33.00,-146579.77,Figma,,SAAS
bt_000222,2024-06-03,MIXVIEW ANALYTICS LTD 40573,-349.00,-146928.77,Mixview Analytics,,SAAS
bt_000182,2024-06-04,SWIFT XFER IBERIA FOOTWEAR SA EUR,-33674.38,-180603.15,Iberia Footwear SA,,SUPPLIER
bt_000001,2024-06-05,SHOPIFY* 8031 PAYOUT REF#82901,28815.80,-151787.35,Shopify,,PAYOUT
bt_000216,2024-06-05,SQ *KLAVIYO INC 1178 DUB,-150.00,-151937.35,Klaviyo,,MARKETING
bt_000226,2024-06-06,PRET A MANGER,-7.32,-151944.67,Pret A Manger,,OTHER
bt_000002,2024-06-12,SHOPIFY* 8086 PAYOUT REF#82902,68988.32,-82956.35,Shopify,,PAYOUT
bt_000228,2024-06-16,AMAZON MARKETPLACE,-6.67,-82963.02,Amazon,,OTHER
bt_000003,2024-06-19,SHOPIFY* 7430 PAYOUT REF#82903,36987.93,-45975.09,Shopify,,PAYOUT
bt_000180,2024-06-19,SWIFT XFER MILANO TRIMS SRL EUR,-26276.33,-72251.42,Milano Trims SRL,,SUPPLIER
bt_000227,2024-06-22,AMAZON MARKETPLACE,-3.57,-72254.99,Amazon,,OTHER
bt_000215,2024-06-25,BACS PAYROLL 25JUN STAFF,-18057.92,-90312.91,Pretty Fly Payroll,,PAYROLL
bt_000004,2024-06-26,SHOPIFY* 8502 PAYOUT REF#82904,40587.92,-49724.99,Shopify,,PAYOUT
bt_000224,2024-06-28,HUB3PL LONDON N1 INVC4917,-6090.00,-55814.99,Hub3PL,,FULFILMENT
bt_000225,2024-06-28,ROYAL MAIL BUSINESS,-10440.00,-66254.99,Royal Mail,,SHIPPING
bt_000106,2024-06-30,SHOPIFY REFUND BATCH 881,-10763.81,-77018.80,Shopify,,REFUND
bt_000130,2024-06-30,GOOGLE*ADS4729 CC@GOOGLE.COM,-15089.46,-92108.26,Google,,MARKETING
bt_000154,2024-06-30,FB*ADS6007XK MENLO PARK,-15002.81,-107111.07,Meta,,MARKETING
bt_000231,2024-07-01,SHOPIFY* SUB 95840,-79.00,-107190.07,Shopify,,SAAS
bt_000237,2024-07-01,STANDING ORDER STUDIO N1 LDN,-3200.00,-110390.07,Studio N1 Landlord,,RENT
bt_000005,2024-07-03,SHOPIFY* 8413 PAYOUT REF#82905,34780.48,-75609.59,Shopify,,PAYOUT
bt_000232,2024-07-03,INTERCOM INC SF CA 89687,-199.00,-75808.59,Intercom,,SAAS
bt_000233,2024-07-03,XERO LTD 28949,-42.00,-75850.59,Xero,,SAAS
bt_000234,2024-07-03,NOTION LABS INC 82994,-24.00,-75874.59,Notion Labs,,SAAS
bt_000235,2024-07-03,FIGMA INC 24223,-33.00,-75907.59,Figma,,SAAS
